mtry	node_size	sample_size	OOB_RMSE
3	10	0.55	0.000937898120739349
3	5	0.55	0.000940811494316928
3	8	0.55	0.000942452804303175
3	7	0.55	0.000942783777795073
3	10	0.632	0.000943040502232246
3	9	0.55	0.00094340292092306
3	6	0.55	0.000944351169531492
3	9	0.632	0.000945142088465166
3	7	0.632	0.000946892120416713
6	9	0.55	0.000947026737972613
3	4	0.55	0.000947059839241144
3	8	0.632	0.000947537412671441
3	6	0.632	0.000948632947074423
4	9	0.55	0.000949003224128824
4	10	0.632	0.000949088742670107
3	3	0.55	0.000949407153540821
7	10	0.55	0.000949462271217834
3	8	0.7	0.000949771482944885
3	9	0.7	0.000950315684646222
6	8	0.55	0.00095037521563401
4	10	0.55	0.000950642905504353
5	7	0.55	0.000950903289371676
6	10	0.55	0.000951012837541719
6	7	0.55	0.000951250307090278
4	8	0.55	0.000951446355460635
3	9	0.8	0.000952351771351512
5	10	0.55	0.000952436704488928
5	9	0.55	0.000953349497473743
4	9	0.632	0.000954035844302214
5	8	0.55	0.000954179530478679
4	6	0.55	0.000954334923606991
4	7	0.55	0.000954422036844338
7	9	0.55	0.000954432953661138
3	8	0.8	0.000954461469084674
3	10	0.7	0.000954537130577813
10	10	0.55	0.000954590589885623
5	10	0.632	0.000954613242612482
3	10	0.8	0.000955356624746503
6	6	0.55	0.000955632319952458
5	6	0.55	0.000955645727417931
3	6	0.8	0.000955924547289806
6	5	0.55	0.000956363645392142
4	8	0.632	0.000956474720397792
9	10	0.55	0.000956602110731411
8	9	0.632	0.000956894456146247
8	10	0.632	0.000957184895802611
9	9	0.55	0.000957278332332421
13	10	0.55	0.000957403030644658
11	10	0.55	0.000957501938345493
10	9	0.55	0.000957506435946083
12	10	0.632	0.000957627019159599
3	7	0.7	0.00095762774314226
8	8	0.55	0.000957655716854432
8	10	0.55	0.000957715146240112
3	5	0.632	0.000957751723776828
12	10	0.55	0.000957800332108872
15	10	0.55	0.00095794678827965
5	9	0.7	0.000957972728989072
11	9	0.55	0.000958397724554234
9	8	0.55	0.000958448300304055
12	9	0.55	0.000958781943189807
13	9	0.55	0.000958833845476211
7	8	0.55	0.000958902594208916
15	10	0.632	0.000959206293477728
8	7	0.632	0.000959221213388838
5	9	0.632	0.000959294060938393
6	9	0.632	0.000959386425565604
7	9	0.632	0.000959788929215014
15	8	0.55	0.000959802798519512
6	10	0.632	0.00096013314066801
15	9	0.55	0.000960139872901003
12	8	0.55	0.000960157907686897
3	3	0.7	0.000960158956527902
9	10	0.632	0.000960175892680997
8	7	0.55	0.000960250665695254
11	8	0.55	0.000960272757643549
11	9	0.632	0.000960297540610176
13	8	0.55	0.000960304639797833
13	10	0.632	0.000960307699575211
4	5	0.55	0.000960384491047648
3	5	0.7	0.000960465041446988
14	10	0.55	0.000960484210270416
11	7	0.55	0.000960496466525405
10	8	0.55	0.00096055169267309
7	10	0.632	0.000960583087544783
4	3	0.55	0.000960631803315278
13	7	0.55	0.000960737486099321
12	7	0.55	0.000960878255455623
14	10	0.632	0.000960951122790565
10	7	0.55	0.000960952443650778
8	8	0.632	0.00096095749579452
5	8	0.632	0.000960988636107514
14	8	0.55	0.000961120178349559
4	7	0.632	0.000961123580199577
4	10	0.7	0.000961153809225409
15	7	0.55	0.000961300439599122
8	9	0.55	0.000961364247553287
3	3	0.632	0.00096139384846747
14	9	0.55	0.000961417985938853
6	8	0.632	0.000961439692923833
7	8	0.632	0.000961530084657448
9	8	0.632	0.000961588416150993
4	5	0.632	0.000961645110034192
12	9	0.632	0.000961716860112968
14	9	0.632	0.000961902373453554
10	6	0.55	0.000962080078702087
12	6	0.55	0.000962085259470438
7	7	0.55	0.000962144251902982
5	5	0.55	0.000962255322961715
11	10	0.632	0.000962560394153544
3	6	0.7	0.000962589649200123
10	10	0.632	0.000962773147841974
4	8	0.7	0.000962817165090394
14	7	0.55	0.000962840365110007
13	9	0.632	0.000962841851421054
9	9	0.632	0.000963094084773308
5	7	0.632	0.000963096345872624
10	9	0.632	0.000963151012643279
9	7	0.632	0.000963190519916529
4	9	0.8	0.000963229092341997
15	9	0.632	0.00096324260920144
5	10	0.7	0.000963435037099649
4	9	0.7	0.000963483480567693
14	8	0.632	0.000963490346803832
10	5	0.55	0.000963606750096406
11	6	0.55	0.000963642688939342
14	6	0.55	0.000963665467258225
13	8	0.632	0.000963742910189365
15	8	0.632	0.000964002380373177
3	7	0.8	0.000964003632199645
9	6	0.55	0.000964069296336847
7	6	0.55	0.000964129225578051
12	8	0.632	0.000964195801533913
10	8	0.632	0.000964538562470646
9	7	0.55	0.000964675190432507
11	8	0.632	0.000964691744191113
13	6	0.55	0.000964746830880511
8	6	0.55	0.000964984238770261
4	6	0.632	0.000965136671148087
6	7	0.632	0.000965256383849568
7	5	0.55	0.000965352232383397
15	6	0.55	0.000965429869216279
6	4	0.55	0.000965572565948463
5	9	0.8	0.000965724740163575
11	10	0.7	0.00096617951558679
5	4	0.55	0.000966193526366995
6	9	0.8	0.000966251791266382
9	5	0.55	0.00096634147274243
10	7	0.632	0.000966364853365331
5	10	0.8	0.000966502314055817
15	7	0.632	0.000966591923707315
4	10	0.8	0.000966804649008231
3	4	0.7	0.000966900621012034
12	7	0.632	0.000966978189257356
14	7	0.632	0.000967319527877757
13	7	0.632	0.000967328444162278
10	4	0.55	0.000967498534491121
5	3	0.55	0.000967512382560145
5	6	0.632	0.000967587510481793
3	4	0.8	0.000967655401621508
7	7	0.632	0.000967756464522849
6	10	0.7	0.000967832929643012
11	7	0.632	0.00096786545391304
4	4	0.55	0.000968238551000137
4	7	0.7	0.000968336673853099
12	5	0.55	0.000968388427149068
4	8	0.8	0.000968594402244131
4	6	0.8	0.000968735859044463
7	10	0.7	0.000968750456340413
8	6	0.632	0.000968780179986454
3	4	0.632	0.000968797242649257
11	9	0.7	0.000968842699688775
13	5	0.55	0.000968930033439702
6	9	0.7	0.00096903162168583
6	3	0.55	0.000969275358412908
5	8	0.7	0.000969378932264195
7	4	0.55	0.000969681602746199
5	6	0.8	0.000969966023955724
11	5	0.55	0.000970047985482386
5	7	0.8	0.000970255244663017
12	6	0.632	0.000970279808104366
6	6	0.632	0.00097034881612423
14	5	0.55	0.00097039639045189
12	4	0.55	0.000970535111348098
4	6	0.7	0.000970542455627106
4	7	0.8	0.000970546960897164
10	6	0.632	0.000970565206761712
15	5	0.55	0.000970577966430901
15	9	0.7	0.000970707574724925
11	4	0.55	0.000970746690691222
4	3	0.632	0.000970822677741333
6	4	0.632	0.000970824881062606
9	6	0.632	0.000970830332511204
5	7	0.7	0.000970837223826501
13	10	0.7	0.000970964447196395
8	10	0.7	0.000971057985030666
10	3	0.55	0.000971129966536188
7	6	0.632	0.000971217807579312
15	10	0.7	0.000971263795359878
7	9	0.7	0.000971352429223604
12	10	0.7	0.000971481164513242
6	5	0.7	0.000971495488702269
14	10	0.7	0.000971506227619925
6	8	0.7	0.000971540142535103
3	3	0.8	0.000971737743111868
4	4	0.632	0.000971870126003648
6	10	0.8	0.000971891016415525
6	7	0.7	0.000971900663323895
11	6	0.632	0.000972040913482658
5	5	0.632	0.000972096623319544
14	4	0.55	0.00097219345183966
10	10	0.7	0.000972233324173824
9	5	0.632	0.000972406506224358
8	5	0.55	0.00097245368318795
13	6	0.632	0.000972713148072531
15	4	0.55	0.000972775467986943
13	4	0.55	0.000972925446954681
14	6	0.632	0.000972944160715219
13	9	0.7	0.000973048727519804
14	9	0.7	0.000973101385808443
8	4	0.55	0.000973149419014673
7	3	0.55	0.000973160557896628
9	4	0.55	0.000973266535022416
9	10	0.7	0.000973308910180306
3	5	0.8	0.000973325743972932
15	6	0.632	0.00097346693266032
8	9	0.7	0.000973635617835161
5	8	0.8	0.000973923484428565
14	8	0.7	0.000974281272069422
4	5	0.7	0.000974284402536858
5	4	0.632	0.00097433679468799
8	3	0.55	0.000974499846456672
15	8	0.7	0.000974715866682334
